Original name of syllabus PDF,Course Title,Course Professors,Year the Course was taught,"Term (Spring, Winter, etc) the Course was Taught",University where this course was taught,New Syllabus Name,Person in charge of digitizing this syllabus
Economic Development Theory and Evidence – Ferrara & Rodrik – Fall 2025.pdf,Economic Development: Theory and Evidence,Eliana La Ferrara; Dani Rodrik,2025,Fall,Harvard University,Economic Development: Theory and Evidence – Ferrara & Rodrik – Fall 2025 – Harvard University,Lila
Economía Política – Fergusson – Fall 2026.pdf,Economía Política,Leopoldo Fergusson,2026,Fall,Universidad de los Andes,Economía Política – Fergusson – Fall 2026 – Universidad de los Andes,Ricardy
Political Economy and Institutions – Ferraz – Spring 2021.pdf,Political Economy and Institutions,Claudio Ferraz,2021,Spring,University of British Columbia,Political Economy and Institutions – Ferraz – Spring 2021 – University of British Columbia,Lila
Political Economy of Development – Humphreys – Fall 2018.pdf,Political Economy of Development,Macartan Humphreys,2018,Fall,Columbia University,Political Economy of Development – Humphreys – Fall 2018 – Columbia University,Lila
Political Economy of Institutions and Development – Acemoglu & Garcia-Jimeno – Spring 2017.pdf,Political Economy of Institutions and Development,Daron Acemoglu; Camilo Garcia-Jimeno,2017,Spring,Massachusetts Institute of Technology,Political Economy of Institutions and Development – Acemoglu & Garcia-Jimeno – Spring 2017 – Massachusetts Institute of Technology,Ricardy
State Capacity – Martinez – Spring 2025.pdf,State Capacity,Luis R. Martinez,2025,Spring,Emory University,State Capacity – Martinez – Spring 2025 – Emory University,Ricardy
"The Logics of Violence Rebels, Criminal Groups, and the State – Magaloni – Fall 2025.pdf","The Logics of Violence: Rebels, Criminal Groups, and the State",Beatriz Magaloni,2025,Fall,Stanford University,"The Logics of Violence: Rebels, Criminal Groups, and the State – Magaloni – Fall 2025 – Stanford University",Ricardy
The Political Economy of Development – Blattman & Montero – Spring 2023.pdf,The Political Economy of Development,Chris Blattman; Eduardo Montero,2023,Spring,University of Chicago,The Political Economy of Development – Blattman & Montero – Spring 2023 – University of Chicago,Ricardy
The Political Underpinnings of Prosperity and Poverty – Fergusson & Querubín & Robinson – Summer 2020.pdf,The Political Underpinnings of Prosperity and Poverty,Leopoldo Fergusson; Pablo Querubín; James A. Robinson,2020,Summer,Universidad de los Andes,The Political Underpinnings of Prosperity and Poverty – Fergusson & Querubín & Robinson – Summer 2020 – Universidad de los Andes,Ricardy
Topics in Political Economy – Fergusson & Xefteris – Fall.pdf,Topics in Political Economy,Leopoldo Fergusson; Dimitrios Xefteris,,Fall,Universitat de Barcelona,Topics in Political Economy – Fergusson & Xefteris – Fall – Universitat de Barcelona,Lila
