Title,Authors,Year,Frequency Score,Recency Score,Citation Score (To review),Citations,Regional Score,School Score,Manual Score,Final Score,Syllabi Count
Trafficking Networks and the Mexican Drug War,"Dell, Melissa",2015,1,0.332871084,0,0,1,1,0,0.566574217,12
The Persistent Effects of Peru's Mining Mita,"Dell, Melissa",2010,1,0.201896518,0,0,1,0.5,0,0.490379304,12
Insult politics in the age of social media,Motte Elliot,2026,0.25,1,0,0,1,1,0,0.475,3
Norms that travel: The role of grassroots institutions on antisocial behavior,Natalia Pia Guerrero Trinidad,2025,0.333333333,0.904837418,0,0,1,0.875,0,0.468467484,4
Bourbon Reforms and State Capacity in the Spanish Empire,"Chiovelli, Giorgio; Fergusson, Leopoldo; Martinez, Luis R.; Torres, Juan D.; Valencia-Caicedo, Felipe",2025,0.416666667,0.904837418,0,0,1,0.5,0,0.455967484,5
A Stepping Stone Approach to Norm Transitions,"Gulesci, Selim",2025,0.166666667,0.904837418,0,0,1,1,0,0.430967484,2
When protection fails: Military bases and sexual violence in Colombia,Felipe Parra; Sakina Shibuya,2025,0.333333333,0.904837418,0,0,1,0.5,0,0.430967484,4
Transparent corruption: The effect of illicit connections and trusted references on the demand for bureaucratic intermediation,José Ramón Morales-Arilla; Ana Ibarra,2025,0.333333333,0.904837418,0,0,1,0.5,0,0.430967484,4
"A few bad apples? academic dishonesty, political selection, and institutional performance in china",Liu Zhuang; Peng Wenwei; Wang Shaoda,2026,0.25,1,0,0,1,0.5,0,0.425,3
The Weak State Trap,"Fergusson, Leopoldo; Molina, Carlos A.; Robinson, James A.",2021,0.5,0.60653066,0,0,1,0.5,0,0.421306132,6
The Colonial Origins of Comparative Development: An Empirical Investigation,"Acemoglu, Daron; Johnson, Simon; Robinson, James A.",2001,1,0.082084999,0,0,0,1,0,0.416417,12
April 2024 Update to the Multidimensional Poverty Measure: What's New,"Diaz-Bonilla, Carolina",2024,0.166666667,0.818730753,0,0,1,1,0,0.413746151,2
"State capacity, informality, and clientelism",Peveri Julieta; Pardelli Giulana,2025,0.25,0.904837418,0,0,1,0.5,0,0.405967484,3
What's trending in difference-in-differences? a synthesis of the recent econometrics literature,Jonathan Roth; Pedro H.C. Sant'Anna; Alyssa Bilinski; John Poe,2023,0.333333333,0.740818221,0,0,1,0.5,0,0.398163644,4
"Policing, Democratic Participation, and the Reproduction of Asymmetric Citizenship","González, Yanilda; Mayka, Lindsay",2023,0.166666667,0.740818221,0,0,1,1,0,0.398163644,2
"Political Power, Elite Control, and Long-Run Development: Evidence from Brazil","Ferraz, Claudio; Finan, Frederico; Martinez-Bravo, Monica",2020,0.333333333,0.548811636,0,0,1,0.75,0,0.384762327,4
Misperceived Social Norms: Female Labor Force Participation in Saudi Arabia,"Bursztyn, Leonardo; Gonzalez, Alessandra; Yanagizawa-Drott, David",2020,0.333333333,0.548811636,0,0,1,0.75,0,0.384762327,4
Pandemic Divergence: A Short Note on COVID-19 and Global Income Inequality,"Filippini, Federico; Levy Yeyati, Eduardo",2022,0.166666667,0.670320046,0,0,1,1,0,0.384064009,2
"Tordesillas, Slavery and the Origins of Brazilian Inequality","Valencia Caicedo, Felipe; Laudares, Humberto",2022,0.166666667,0.670320046,0,0,1,1,0,0.384064009,2
Politician Family Networks and Electoral Outcomes: Evidence from the Philippines,"Cruz, Cesi; Labonne, Julien; Querubin, Pablo",2017,0.333333333,0.40656966,0,0,1,1,0,0.381313932,4
Bringing Work Home: Flexible Arrangements as Gateway Jobs for Women in West Bengal,"Ho, Lisa; Jalota, Suhani; Karandikar, Anahita",2025,0.166666667,0.904837418,0,0,1,0.5,0,0.380967484,2
The cost of tolerating intolerance: Right-wing protest and hate crimes,Sulin Sardoschau; Annali Casanueva-Artis,2025,0.333333333,0.904837418,0,0,1,0,0,0.380967484,4
Gang Rule: Understanding and Countering Criminal Governance,"Blattman, Christopher; Duncan, Gustavo; Lessing, Benjamin; Tobón, Santiago",2025,0.5,0.904837418,0,0,0,0.5,0,0.380967484,6
Pre-Colonial Ethnic Institutions and Contemporary African Development,"Michalopoulos, Stelios; Papaioannou, Elias",2013,0.5,0.272531793,0,0,1,0.75,0,0.379506359,6
Addressing bias in politician characteristic regression discontinuity designs,Torres Santiago,2023,0.25,0.740818221,0,0,1,0.5,0,0.373163644,3
A Stepping Stone Approach to Understanding Harmful Norms,"Gulesci, Selim; Jindani, Sam; La Ferrara, Eliana; Smerdon, David; Sulaiman, Munshi; Young, Peyton H.",2021,0.166666667,0.60653066,0,0,1,1,0,0.371306132,2
Causal Inference: The Mixtape,Scott Cunningham,2021,0.666666667,0.60653066,0,0,0,0.5,0,0.371306132,8
The Real Winner's Curse,"Fergusson, Leopoldo; Querubin, Pablo; Ruiz, Nelson A.; Vargas, Juan F.",2021,0.333333333,0.60653066,0,0,1,0.5,0,0.371306132,4
How Is Power Shared in Africa?,"Francois, Patrick; Rainer, Ilia; Trebbi, Francesco",2015,0.5,0.332871084,0,0,1,0.5,0,0.366574217,6
Politics 2.0: The Multifaceted Effect of Broadband Internet on Political Participation,"Campante, Filipe; Durante, Ruben; Sobbrio, Francesco",2018,0.333333333,0.449328964,0,0,1,0.75,0,0.364865793,4
The interaction of economic and political inequality in Latin America,"Fergusson, Leopoldo; Robinson, James; Torres, Santiago",2024,0.166666667,0.818730753,0,0,1,0.5,0,0.363746151,2
Civil Service Exams and Organizational Performance: Evidence from the Pendleton Act,"Moreira, Diana; Perez, Santiago",2024,0.166666667,0.818730753,0,0,1,0.5,0,0.363746151,2
The Anatomy of Colombian Bureaucratic Hierarchies,"Martinez, Luis R.; Snowberg, Erik; Ting, Michael",2024,0.166666667,0.818730753,0,0,1,0.5,0,0.363746151,2
The Point of Attack: When and Why Does Oil Cause Armed Conflict in Africa?,"Blair, Graeme; Christensen, Darin; Gibilisco, Michael",2024,0.166666667,0.818730753,0,0,1,0.5,0,0.363746151,2
Can Policy Change Culture? Government Pension Plans and Traditional Kinship Practices,"Bau, Natalie",2021,0.25,0.60653066,0,0,1,0.666666667,0,0.362972799,3
Social Media and Protest Participation: Evidence from Russia,"Enikolopov, Ruben; Makarin, Alexey; Petrova, Maria",2020,0.5,0.548811636,0,0,0,1,0,0.359762327,6
"Internet, Social Media, and the Behavior of Politicians: Evidence from Facebook in Brazil","Bessone, Pedro; Campante, Filipe; Ferraz, Claudio; Souza, Pedro",2020,0.166666667,0.548811636,0,0,1,1,0,0.359762327,2
Patronage and Selection in Public Sector Organizations,"Colonnelli, Emanuele; Prem, Mounu; Teso, Edoardo",2020,0.333333333,0.548811636,0,0,1,0.5,0,0.359762327,4
Seeing like a District: Understanding What Close-Election Designs for Leader Characteristics Can and Cannot Tell Us,"Bertoli, Andrew; Hazlett, Chad",2025,0.083333333,0.904837418,0,0,1,0.5,0,0.355967484,1
On the Origins of the State: Stationary Bandits and Taxation in Eastern Congo,"Sanchez de la Sierra, Raul",2013,0.5,0.272531793,0,0,1,0.5,0,0.354506359,6
Facebook Causes Protests,"Fergusson, Leopoldo; Molina, Carlos",2019,0.333333333,0.496585304,0,0,1,0.5,0,0.349317061,4
"Organized Crime, Violence, and Politics","Alesina, Alberto; Piccolo, Salvatore; Pinotti, Paolo",2019,0.666666667,0.496585304,0,0,0,0.5,0,0.349317061,8
Legitimacy in Criminal Governance: Managing a Drug Empire from behind Bars,"Lessing, Benjamin; Willis, Graham Denyer",2019,0.333333333,0.496585304,0,0,1,0.5,0,0.349317061,4
"Presidential Address: Aspirations, Social Norms, and Development","La Ferrara, Eliana",2019,0.166666667,0.496585304,0,0,1,1,0,0.349317061,2
Birds of a feather collude together: Subnational alignment and corruption,"Fergusson, Leopoldo; Harker, Arturo; Molina, Carlos; Yamín, Juan Camilo",2023,0.166666667,0.740818221,0,0,1,0.5,0,0.348163644,2
The Political Effects of Witnessing State Atrocities: Evidence from the Nazi Death Marches,"De Juan, Alexander; Gläßel, Christian; Haass, Felix; Scharpf, Adam",2023,0.166666667,0.740818221,0,0,1,0.5,0,0.348163644,2
Corruption in Customs,"Chalendard, Cyril; Fernandes, Ana M.; Raballand, Gael; Rijkers, Bob",2023,0.166666667,0.740818221,0,0,1,0.5,0,0.348163644,2
Corrupt Hierarchies,"Sanchez de la Sierra, Raul",2023,0.166666667,0.740818221,0,0,1,0.5,0,0.348163644,2
"Fatal Police Violence by Race and State in the USA, 1980–2019: A Network Meta-Regression",GBD 2019 Police Violence US Subnational Collaborators,2021,0.166666667,0.60653066,0,0,1,0.75,0,0.346306132,2
"I Sell My Vote, and So What? Incidence, Social Bias, and Correlates of Clientelism in Colombia","Fergusson, Leopoldo; Molina, Carlos; Riano, Juan Felipe",2018,0.166666667,0.449328964,0,0,1,1,0,0.339865793,2
Social media and collective action in China,Qin Bei; Strömberg David; Wu Yanhui,2024,0.25,0.818730753,0,0,0,1,0,0.338746151,3
From Powerholders to Stakeholders: State-Building with Elite Compensation in Early Medieval China,"Chen, Joy; Wang, Erik; Zhang, Xiaoming",2024,0.083333333,0.818730753,0,0,1,0.5,0,0.338746151,1
Media and Social Capital,"Campante, Filipe R.; Durante, Ruben; Tesei, Andrea",2021,0.166666667,0.60653066,0,0,1,0.666666667,0,0.337972799,2
