Original name of syllabus PDF,Course Title,Course Professors,Year the Course was taught,"Term (Spring, Winter, etc) the Course was Taught",University where this course was taught,Person in charge of digitizing this syllabus
DEV 101_ECON 2326_PED 101 - 2025 Fall (170665) (1).pdf,Economic Development: Theory and Evidence,Eliana La Ferrara; Dani Rodrik,2025,Fall,Harvard University,Lila
Econ 544 Syllabus 2021 Claudio Ferraz.pdf,Political Economy and Institutions,Claudio Ferraz,2021,Spring,University of British Columbia,Lila
Logics_Violence_Fall_2025_2-2.pdf,"The Logics of Violence: Rebels, Criminal Groups, and the State",Beatriz Magaloni,2025,Fall,Stanford University,Lila
Los Andes 2020.pdf,The Political Underpinnings of Prosperity and Poverty,Leopoldo Fergusson; Pablo Querubín; James A. Robinson,2020,Summer,Universidad de los Andes,Lila
PED_2018_syllabus.pdf,Political Economy of Development,Macartan Humphreys,2018,Fall,Columbia University,Ricardy
POLS 111 - Spring 2025 - Syllabus - v3.pdf,Principles of Political Science,Luis R. Martinez,2025,Spring,Emory University,Ricardy
POLS 585 - State Capacity - Spring 2025 - Syllabus - v2.pdf,State Capacity,Luis R. Martinez,2025,Spring,Emory University,Ricardy
PPHA 41120_The Political Economy of Development_2024_Blattman Montero.pdf,The Political Economy of Development,Chris Blattman; Eduardo Montero,2023,Spring,University of Chicago,Ricardy
Programa.pdf,Economía Política,Leopoldo Fergusson,2026,,Universidad de los Andes,Ricardy
Syllabus_6.pdf,Political Economy of Institutions and Development,Daron Acemoglu; Camilo Garcia-Jimeno,2017,Spring,Massachusetts Institute of Technology,Lila
Syllabus_topics_political_economy.pdf,Topics in Political Economy,Leopoldo Fergusson; Dimitrios Xefteris,,Fall,Universitat de Barcelona,Lila
